FormId	ItemId	VarName	LoincScale	UnitStr	ItemText	Expression	MinExpression	MaxExpression	ItemHelp	Decimals	OrderNumber2	OptionText
914	4658	PAI_POI	ORD		Primary Ovarian Insufficiency						2	No
914	4659	PAI_CELIAC	ORD		Coeliac disease						1	Yes
914	4659	PAI_CELIAC	ORD		Coeliac disease						2	No
914	4654	PAI_AAG	ORD		Autoimmune atrophic gastritis						1	Yes
914	4654	PAI_AAG	ORD		Autoimmune atrophic gastritis						2	No
914	4661	GC_REPLACEMENT_TYPE	ORD		Glucocorticoid replacement						1	Hydrocortisone
914	4661	GC_REPLACEMENT_TYPE	ORD		Glucocorticoid replacement						2	Cortisone acetate
914	4661	GC_REPLACEMENT_TYPE	ORD		Glucocorticoid replacement						3	Plenadren
914	4661	GC_REPLACEMENT_TYPE	ORD		Glucocorticoid replacement						4	Prednisolone
914	4661	GC_REPLACEMENT_TYPE	ORD		Glucocorticoid replacement						5	Pump
914	4986	GC_PUMP_DOSE	QN	mg/24h	Pump dose mg/day		10	50		2		
914	4669	GC_DOSE_1_TIME	QN		Dose #1 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4663	GC_ACTUAL_DOSE_1	QN	mg	Dose #1 mg		1	50		2		
914	4979	HC_EQUIVALENT_DOSE_1	QN	mg	Dose #1 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_1	0.8	200		2		
914	4664	GC_DOSE_2_TIME	QN		Dose #2 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4670	GC_ACTUAL_DOSE_2	QN	mg	Dose #2 mg		1	50		2		
914	4980	HC_EQUIVALENT_DOSE_2	QN	mg	Dose #2 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_2	0.8	200		2		
914	4665	GC_DOSE_3_TIME	QN		Dose #3 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4671	GC_ACTUAL_DOSE_3	QN	mg	Dose #3 mg		1	50		2		
914	4981	HC_EQUIVALENT_DOSE_3	QN	mg	Dose #3 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_3	0.8	200		2		
914	4666	GC_DOSE_4_TIME	QN		Dose #4 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4672	GC_ACTUAL_DOSE_4	QN	mg	Dose #4 mg		1	50		2		
914	4982	HC_EQUIVALENT_DOSE_4	QN	mg	Dose #4 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_4	0.8	200		2		
914	4667	GC_DOSE_5_TIME	QN		Dose #5 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4673	GC_ACTUAL_DOSE_5	QN	mg	Dose #5 mg		1	50		2		
914	4983	HC_EQUIVALENT_DOSE_5	QN	mg	Dose #5 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_5	0.8	200		2		
914	4668	GC_DOSE_6_TIME	QN		Dose #6 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4674	GC_ACTUAL_DOSE_6	QN	mg	Dose #6 mg		1	50		2		
914	4984	HC_EQUIVALENT_DOSE_6	QN	mg	Dose #6 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_6	0.8	200		2		
914	4662	GC_DOSE_7_TIME	QN		Dose #7 time		0	2359	"Use 700 for 7 am, 1300 for 1 pm etc."			
914	4679	GC_ACTUAL_DOSE_7	QN	mg	Dose #7 mg		1	50		2		
914	4985	HC_EQUIVALENT_DOSE_7	QN	mg	Dose #7 mg hc equivalent	GC_REPLACEMENT_TYPE_SCORE * GC_ACTUAL_DOSE_7	0.8	200		2		
914	4677	MR_DOSE_1_TIME	QN		Dose #1 time		0	2359				
914	4680	MR_DOSE_1_MG	QN	mg	Dose #1 mg		0	50		2		
914	4678	MR_DOSE_2_TIME	QN		Dose #2 time		0	2359				
914	4675	MR_DOSE_2_MG	QN	mg	Dose #2 mg		0	50		2		
914	4676	MR_DOSE_3_TIME	QN		Dose #3 time		0	2359				
914	4681	MR_DOSE_3_MG	QN	mg	Dose #3 mg		0	50		2		
		Age	ORD		Age at time of sampling		0	100			Age in years at the time sampling occurred	
